Word,Meaning,Synonyms,Sentences
Schism,"Meaning
Division, separation.
Formal division in or separation from a church or religious body.","Discord
Disharmony
Infighting","Sentences
The Papal Schism was a bad few years."
Scintillate,"Meaning
Sparkle with wit or humour.",,
Screed,"Meaning
Lengthy discourse.
A ranting piece of writing.","Diatribe","Sentences
In her screed, she blamed Emily for her problems.
The journalist wrote a screed against Felix just to generate clicks on their article."
Scrupulous,"Meaning
Having moral integrity.
Punctiliously exact.","Painstaking
Ethical
Meticulous","Sentences
She pays scrupulous attention to details other artists might gloss over."
Scuzzball,"Meaning
An unpleasant, dirty or dangerous person.
This is a slang.","Sleaze
Swine
Vermin","Sentences
It was ironic that Seymour’s parents called him a suczzball, when they themselves were no better."
Sedulous,"Meaning
Involving or accomplished with careful perseverance.","Assiduous
Diligent
Industrious
Engaged
Busy","Sentences
Selena was a sedulous student."
Sensuous,"Meaning
Relating to the senses.
Relating to or providing pleasure through gratification of the senses.
Do not confuse 'sensuous' with 'sensual'.",,"Sentences
The sensuous sounds of soul music created a warm atmosphere."
Sentient,"Meaning
Conscious of and able to perceive environment and situation.","Cognizant
Aware
Alive","Sentences
The AI system had become sentient and had convinced crew on the Starship on the to kill each other.
It is better to be sentient of the damages that a hurricane can cause."
Sextant,"Meaning
An instrument for ascertaining latitude and longitude. Can be for celestial bodies as well.",,"Sentences
The sextant used by the captain of rescue ship Carpathia sold for just under $97,000."
Shtick,"Meaning
A usually comic or repetitious performance or routine.
One’s special trait, interest or activity.",,"Sentences
The shtick of the show 'Selena + Chef' is Selena’s amateurism."
Sidereal,"Meaning
Relating to or expressed in relation to stars or constellations.","Astral","Sentences
Called sidereal time, the measurement calculates the length of a day by comparing Earth’s rotation to the stars."
Simian,"Meaning
Relating to or resembling monkeys or apes.",,"Sentences
A study of simian viruses was conducted."
Sinecure,"Meaning
An office or position that requires little or no work and that usually provides an income.",,"Sentences
I never thought of my job as a sinecure.
The practice of deputization, which had rendered some posts essentially sinecures, was abolished."
Sinuous,"Meaning
Something of a serpentine or wavy form.
Marked by strong lithe movements.","Winding
Tortuous
Complex
Intricate","Sentences
The sinuous terrain was difficult to navigate through."
Solicitous,"Meaning
Full of concern or fears.
Meticulously careful.
Full of desire.","Apprehensive
Eager","Sentences
I appreciated his solicitous inquiry about my health."
Soliloquy,"Meaning
A literary or dramatic speech not addressed to others.
The act of talking to oneself.
Do not confuse 'soliloquy' with 'monologue'. A monologue is usually addressed to someone or a boring speech can be described as a monologue. A soliloquy is a speech to oneself.",,
Solvent,"Meaning
Able to meet all financial obligations.
Something that hat dissolves or can dissolve.",,"Sentences
He couldn’t stay solvent after losing his business."
Somatic,"Meaning
Relating to or affecting the body.","Carnal
Corporeal","Sentences
Neck and shoulder tension, shallow breathing, and tears are all somatic reactions to trauma."
Soporific,"Meaning
Sleep inducing.","Opiate
Drowsy","Sentences
Poppy seeds are soporific in nature."
Sordid,"Meaning
Filthy","Squalor
Sullied
Grotty","Sentences
The tramp wore sordid clothes."
Specious,"Meaning
Having a false look of truth or genuineness.","Deluding
Delusory
Beguiling
Fallacious","Sentences
Their specious arguments had convinced almost everyone, but an assiduous lady pointed out a crucial fact that they were misquoting, which exposed their hollow argument."
Squalor,"Meaning
Marked by filthiness and degradation from neglect or poverty.
The state of being 'squalid'.","Sordid","Sentences
The people living outdoors or in slums in squalor were given houses in SRA buildings by the government."
Staccato,"Meaning
Cut short in performing.","Abrupt
Disjointed","Sentences
The woman rushed to help the man on hearing his staccato screams."
Stanch,"Meaning
To check or stop the flowing of something.","Stymie","Sentences
Vibranium is so strong that it can stanch a missile."
Statutory,"Meaning
Decided or controlled by law.
Do not confuse 'statutory' with 'salutary'.",,"Sentences
All movies have to be preceded by a statutory warning about the insalubrious and carcinogenic nature of cigarettes."
Stentorian,"Meaning
Extremely loud","Raucous
Thundering","Sentences
The teacher chastised the children for their stentorian conversation."
Stint,"Meaning
To be sparing or frugal.
A period of time spent at a particular activity.
Chore, task, assignment
To restrict with respect to a share or allowance.",,"Sentences
He completed his stint as a DJ at the local club.
It is better to stint one’s luxuries during financially lean times."
Stipulate,"Meaning
To specify as a condition or requirement.",,"Sentences
All the stipulated conditions of a deal should be met."
Stolid,"Meaning
Having or expressing little or no emotions.","Stoic
Deadpan","Sentences
Men are often told to be stolid."
Stooge,"Meaning
One who plays a subordinate or compliant role to someone.","Puppet","Sentences
A gangster and his stooges."
Striated,"Meaning
Marked with small grooves or channels.",,"Sentences
There are two types of striated muscles, the cardiac muscles and the skeletal muscles."
Stricture,"Meaning
Something that restrains or limits.
Abnormal narrowing of a bodily passage.
An adverse criticism.","Censure
Rebuke
Reprimand
Stricture","Sentences
Every religion has its strictures on the morals of contemporary society.
They have broken nearly every stricture of the pact."
Strident,"Meaning
Loud, unpleasant noise.
Loud voice commanding attention.","Raucous
Clamorous
Vociferous
Obstreperous","Sentences
The terrorist’s strident voice instilled a sense of fear in the hostage, but the army woman was unperturbed and focused only on rescuing the hostage."
Stultify,"Meaning
To impair.
To make ineffective.
To reduce to uselessness.","Negate
Disparage","Sentences
During the pandemic, certain aspects of education have been stultified by online classes."
Stygian,"Meaning
Dark and gloomy
Hellish","Somber (alt: Sombre)
Morose
Lugubrious","Sentences
The hurricane created a stygian atmosphere."
Stymie,"Meaning
To present an obstacle to.","Stanch","Sentences
Some cellular mechanisms stymie genetic changes to prevent mutation."
Sublimate,"Meaning
Divert destructive energy and actions to something constructive, usually unconsciously.",,
Subpoena,"Meaning
A notice ordering someone to appear in court.","Summons","Sentences
He was subpoenaed to testify in a hearing."
Subsistence,"Meaning
Bare minimum needed for survival.","Existence
Corporeality","Sentences
Society should consider video streaming a legitimate way of subsistence."
Subsume,"Meaning
To include something under a larger characteristic.","Encompass","Sentences
Black, yellow and blue are subsumed under the classification of 'colours'."
Subterfuge,"Meaning
Skillful deception in order to conceal, escape or evade.","Artifice
Chicanery
Stratagem
Trickery","Sentences
The subterfuge in his Real Estate dealings was caught by the Income Tax department."
Succinct,"Meaning
Precise expression without wasted words.","Concise","Sentences
The succinct and elegant manner in which he spoke really impressed the judge."
Succor,"Meaning
Help during times of need.
Something that furnishes relief.","Relief
Aid","Sentences
The poor were given succor during the pandemic.
Everyone in the family was succored by Selena’s fortitude and steadfastness."
Suffrage,"Meaning
The right of voting.",,"Sentences
Even as the world entered the 21st century, some nations still did not permit women’s suffrage."
Sui generis,"Meaning
Constituting a class alone.","Unique
Peculiar","Sentences
Steven Smith is a sui generis batsman."
Sundry,"Meaning
Various",,"Sentences
Served up with these, were sundry greens — lichens, mosses, ferns, and fungi."
Supine,"Meaning
Lying on the back with the face upwards.
Marked by laziness.","Indolent
Torpor","Sentences
Selena loves sleeping in a supine position.
Most children feel supine during their holidays."
Supplant,"Meaning
To replace.
Do not confuse 'supplant' with 'suppliant'.","Lieu
Supersede
Substitute","Sentences
The out of form player was supplanted by an in form player."
Suppliant,"Meaning
Humbly imploring
Do not confuse 'suppliant' with 'supplant'.","Beseeching
Importune","Sentences
The suppliant bully pleaded with the teacher for a chance to improve themselves."
Surreptitious,"Meaning
Done or acquired stealthily","Covert
Privy
Clandestine","Sentences
The queen is not a staff member that she can be surreptitiously cut away or dismissed."
Sycophant,"Meaning
Insincerely servile.","Obsequious",
Syllogism,"Meaning
Deductive reasoning
A deductive scheme of a formal argument consisting of a major and a minor premise and a conclusion. (ie, if A = B and B = C, then A = C.)",,"Sentences
A good example of syllogism is 'Every virtue is laudable; kindness is a virtue; therefore kindness is laudable'."
Sylvan,"Meaning
Relating to or characteristic of the woods or forest.
Living or located in the woods or forest.",,"Sentences
The bungalow is located on sylvan land."
Tacit,"Meaning
Implied","Implicit","Sentences
In exchange for favours, the corrupt policeman had the tacit consent of the politicians in power to extort money from people."
Taciturn,"Meaning
Temperamentally disinclined to talk.","Reticent
Laconic","Sentences
She has such a taciturn countenance."
Teed off,"Meaning
Angry
Annoyed",,"Sentences
Selenators were teed off with Selena’s record label for not promoting her song on radio."
Tenacity,"Meaning
Not easily pulled apart.
Persistent in maintaining, adhering to or seeking something valued or desired.","Stalwart","Sentences
Being tenacious and sedulous is a recipe for success!"
Tenuous,"Meaning
Having little substance or strength.","Flimsy","Sentences
A lot of people’s finances are tenuous at best."
Tepid,"Meaning
Lacking in passion, force, enthusiasm, conviction or zest.
Lukewarm",,"Sentences
My suggestion got a tepid response."
Tetchy,"Meaning
Irritably or peevishly sensitive.",,"Sentences
A morose and tetchy resident of a nursing home."
Theology,"Meaning
The study of God and religion.",,
Tirade,"Meaning
Long abusive speech.","Vituperative
Admonish","Sentences
She launched into an furious tirade about how she had been unfairly treated."
Toady,"Meaning
Flatterer","Obsequious
Sycophant
Fawning","Sentences
Celebrities have a lot of toadies around them."
Tome,"Meaning
Large, heavy book.",,"Sentences
She has written several weighty tomes on the subject."
Torpor,"Meaning
Lazy
Sluggish","Indolent
Supine
Quiescent
Lassitude
Lackadaisical","Sentences
Such an extended period of torpor is close to a state of hibernation, not known among other birds."
Tractable,"Meaning
Easily controlled, persuaded and dealt with.",,"Sentences
If dealt with correctly, most problems are more tractable than they seem."
Transgression,"Meaning
Breaking the law.
Trespassing",,"Sentences
All transgressions should be firmly dealt with."
Travail,"Meaning
An unpleasant situation requiring a lot of hard work.",,"Sentences
The Indian government had to deal with the travails of various sectors like the economy and defence during a pandemic."
Travesty,"Meaning
Something that fails to represent the values and qualities that it is intended to represent, in a way that is shocking or offensive.","Parody
Caricature","Sentences
The misogynistic depiction of the Indian Air Force in Gunjan Saxena is a travesty."
Treatise,"Meaning
An in-depth formal piece written on a subject.",,"Sentences
His treatise on the psychology of the human mind was received with a lot of praise."
Trepidation,"Meaning
Fear and anxiety for something that might happen.",,"Sentences
Rohit did not let the trepidation of the Cricket world cup final get to him."
Triage,"Meaning
The sorting of patients (as in an emergency room) according to the urgency or type of their need for care.
The assigning of priority order to projects on the basis of where funds and other resources can be best used, are most needed or are most likely to achieve success.",,"Sentences
Nurses do triage in the emergency room.
Review the critical path for projects and triage your commitments."
Trifling,"Meaning
Lacking in significance or solid worth.","Frivolous
Trivial
Lazy
Inconsequential
Nugatory","Sentences
A trifling sum of money."
Truculent,"Meaning
Aggressiveness","Livid
Vitriolic
Pugnacious","Sentences
Camila’s vituperative attack made Lauren truculent."
Tryst,"Meaning
A meeting point of lovers, usually a secret, ie, a rendezvous.",,"Sentences
The Indian Government considers Chai Pe Charcha a tryst with the people."
Tumid,"Meaning
A part of the body that is swollen/distended.","Turgid","Sentences
The doctor noted the tumid abdomen of the child, which was a sign of malnourishment."
Turbid,"Meaning
Translucent due to particles in the solution.
Do not confuse 'turbid' with 'turgid'.","Cloudy
Muddy
Murky","Sentences
The chemical reaction caused a turbid white solution to form in the test tube."
Turgid,"Meaning
A speech or writing that is boring and serious.
Swollen and firm.
Some liquid that does not flow easily.
Do not confuse 'turgid' with 'turbid'.","Tumid","Sentences
Teachers should take efforts to make their subject a little less turgid."
Tutelary,"Meaning
Serving as a guardian and protector.",,"Sentences
Lucas, a common man, was rewarded for his tutelary act for the stranger."
Tyro,"Meaning
A beginner.","Neophyte
Novice","Sentences
One should never make fun of a tyro, as everyone starts out as a beginner."
Uncouth,"Meaning
Unpleasant
Rude","Boorish",
Unctuous,"Meaning
Having, revealing or marked by a smug, ingratiating and false earnestness or spirituality.
Plastic
Oily","Janus-faced
Insincere
Double-dealing","Sentences
An unctuous effort to appear religious to the voters.
An unctuous appraisal of the musical talent shown by the boss’s daughter.
Slowly braised, the meat becomes tender and unctuous, while the liquid is enriched with the marrow from the shank bone."
Undulating,"Meaning
Going up and down shape or movement, much like waves.",,"Sentences
The emotionally undulating speech made people laugh and cry."
Unequivocal,"Meaning
Leaving no doubt.
Unquestionable","Clear
Unambiguous
Lucid","Sentences
The jury ruled that her hand in the crime was unequivocal.
The inauguration took place on the spot where thousands of angry rioters had to converged, at Trump’s urging, hoping to prevent Congress from certifying Biden’s unequivocal victory."
Untenable,"Meaning
A theory, argument or situation that cannot be defended.",,
Untoward,"Meaning
Unfavorable
Difficult to manage","Unruly
Obstreperous","Sentences
The hostile and untoward crowd did not let the speaker convey their point."
Unpropitious,"Meaning
Unfavorable","Inauspicious","Sentences
Any Hindu custom cannot be held at an unpropitious time."
Usury,"Meaning
The practice of lending money at exorbitant interest rates.",,"Sentences
Partaking in usury can lead to huge financial losses and burdens."
Vagrant,"Meaning
A homeless person.
Poor, no job and moves from place to place","Derelict
Tramp","Sentences
A lot of charities provide food handouts for vagrants."
Vanguard,"Meaning
The forefront of an action or movement.
The troops moving at the head of an army.",,"Sentences
Talk radio is often regarded as being in the vanguard of the conservative movement."
Vegetate,"Meaning
A passive and monotonous living.",,
Veracious,"Meaning
Truthful, honest
Accurate
Antonym: Mendacious",,"Sentences
She has a reputation for being veracious, so people generally take her word for things."
Verbatim,"Meaning
In the exact words.
Word for word.","Ad verbum","Sentences
The quote is taken verbatim from a teacher."
Vestige,"Meaning
A trace, mark or visible sign left by something (such as an ancient city or a condition or practice) vanished or lost.
A bodily part or organ that is small and degenerate or imperfectly developed in comparison to one more fully developed in an earlier stage of the individual, in a past generation or in closely related forms.","Relic","Sentences
Another vestige of the Trump trade war fell over the weekend when the U.S. and EU agreed to suspend punitive levies on products like French wine, German pastries and Italian hard cheeses that got caught up in the Airbus-Boeing trade dispute.
The fossilized vestige of a dinosaur that traversed that muddy landscape millions of years ago was found recently."
Vicarious,"Meaning
Living through someone else.
Experiencing something indirectly.",,
Vindicate,"Meaning
Free someone from allegation or blame.
Do not confuse 'vindicate' with 'vindictive'.","Acquit
Absolve","Sentences
Dinah gave her account in front of the court to help vindicate Camila."
Vindictive,"Meaning
Revenge seeking
Do not confuse 'vindictive' with 'vindicate'.","Vengeful
Revengeful","Sentences
There is no need to be vindictive, as a person reaps what they sow."
Virago,"Meaning
A vicious, nagging and battle-axe type woman.",,
Virtuoso,"Meaning
A person skilled at something, especially when it comes to the fine arts like music, painting, etc…​","Connoisseur",
Visceral,"Meaning
Felt in or as if in the internal organs of the body.
Dealing with crude emotions.
Related to or located in the viscera.
Viscera: Internal organs located in the trunk of the body, ie, heart, liver, intestines, etc.",,"Sentences
When one’s waist circumference is being measured, indirectly their visceral fat is being measured.
It is a visceral novel."
Vitiate,"Meaning
To reduce the quality of something.
To damage something.
To corrupt morally.","Debase","Sentences
One should never try to vitiate other’s images."
Vituperative,"Meaning
Bitter abuse","Scathing
Excoriate","Sentences
Selena was reprimanded for her vituperative behaviour."
Vivisection,"Meaning
To perform surgery or experiments on live animals for scientific purposes.",,
Voracious,"Meaning
Excessively eager.","Insatiable","Sentences
Harsh has a voracious appetite for reading!"
Wanton,"Meaning
Careless disregard for something",,
Welter,"Meaning
Wallow
A large number of ill-organised things.",,"Sentences
Selena was ordered to clear the welter of clothes strewn across the room by her father."
Wherewithal,"Meaning
Means, resources
Money",,"Sentences
Mandy mustered all her wherewithal to provide for Selena."
Wraith,"Meaning
The exact likeness of a living person seen usually just before death as an apparition.
An insubstantial form or semblance.
A barely visible gaseous or vaporous column.
Do not confuse 'wraith' with 'wreath'.","Shadow
Ghost
Spectre (means Ghost; James Bond → Spectre = Special Executive for Counter-intelligence, Terrorism, Revenge and Extortion)
Poltergeist
Sprite","Sentences
Instead of a wraith, scribbling on scraps, Emily Dickinson was meticulously constructing her legacy through poems that stowed away the infinite in the small.
The people who once lived here believed that their world was populated by wraiths and witches."
Zealot,"Meaning
A person who has very strong opinions about something and tries to make other people have them too.","Fanatic","Sentences
It is best to stay away from religious and political zealots."
